,0
6047,Mahindra you are farming king
6048,Jay javan jay kisan jay mhindra
6049,How much cost of msmart kit
6050,rippAnna
6051,"sir ji यह हैडिल का कवर हमने लिया है कैसे लगेगा प्लीज बताइए 
my MOBAEL No 
7607307435"
6052,575 bhoomiputra ka video bonaieye
6053,Mahindra Best
6054,Super m samart
6055,पारकीग एडजस्ट नहीं करती है की है😇😅😐
6056,Dam
6057,"Bad pto mahindra y
Tractor sarpanch and bhumiputra no spped pto or baki tracter mast he"
6058,Good is
6059,Pto spped nahi mahindra
6060,Yeh greasing kaise kare plz guide
6061,ಇದೆ ಸೈಜ ನಲ್ಲಿ ಮೂರು ಸಿಲಿಂಡರ ಇರಬೇಕಿತ್ತು
6062,475 ka mel jyaga
6063,Alag se Mil Jata Hai gearbox
6064,Game khelne me mazedar hai
6065,Best tractor Mahindra
6066,Mahindra Commander kitne HP ka hota hai aur essay tractor mein Dalwa ke service Le Ja sakti hai kya services ki Kaisi Rahegi mere paas ek Mahendra enter dekhta hai usme mein yahe engine dalwana Chahta Hoon
6067,Clutch lock tha to tractor kaise chala
6068,4 wd drive ko 2 wd se jyada dizal lagata hoga
6069,महिंद्रा 245 क्या रेट है और 3:30 फीट चौड़े वाला ट्रैक्टर छोटा 24 एचपी
6070,Mahindra is nice
6071,Mahindra is best
6072,"bhoomiputra moder mein to side sift gayer nahi hai , bhoomiputra hi sabse acha lagta hai baki mode to dekhne mein ache nahi lagte"
6073,Nice
6074,Good video
6075,Nice
6076,Anjani Yadav
6077,Anjani Yadav   very good video
6078,Air cleaner ko kis yantra se saaf kare
6079,"Mahindra need to give answer of consumer question on you tube also. My question is how much feet rotavator he can pull,operate or drive."
6080,Hare pass bhi he rotary me 6 litre khata hey 575
6081,Farmtrac 41xp bast
6082,Hamare pass bhi hai 415 hai jo Rotavator me 5liter leta hai
6083,415 ka price kya h khali engen
6084,Bai phela ale Arjun 605 ki ka ress kra novo
6085,jordar
6086,hydraulic oil kitna dala jata h
6087,Mere pas bhi Mahindra 275 di hai Mahindra acha bhi hai power. Wala hai Lena hai to sirf 275 di Mahindra price.. 5'40000
6088,Bhai John deere 3036en ke samne a tractor nahi tikk sakti
6089,Yuvo me to duble distibuter nahi a to reversble plough kasa reverse  karta ha
6090,Best tractor in orchid range
6091,"Jabardast tractor ahe ha khup powerful , jivo peksha hi Bhari , may be hy model band klay company ni."
6092,Sir mera mahindra 575 DI NST 2006 model  manul steering he kay power steering ka kharcha batayege . Plz
6093,सुपर छे ok 475
6094,milage kitna detahe sir
6095,Sonalika best
6096,ye model bahout acha h
6097,My tractor youvo
6098,bhai tum ek mahindra Yuvo ki game banavo please
6099,Mara
6100,Mahindra yuvo 575
6101,Mahindra company didn't have English knowledged person??? Is mahindra decided to sell all those products to hindi knowned people only???
6102,Mahindra is best
6103,Mere paas  mahindra  575 hain 98 ka model  hain  bahot  hi  accha  Hain
6104,महिंद्रा युवो 415 रोटावेटर में गाड़ी मार खा रही है मैंने लिया है महिंद्रा युवो 415  रोटावेटर में यह गाड़ी मार खा रही है डीजल ज्यादा खा रही है रोटावेटर में
6105,"Brother make 43 HP tractor and power  steering  front attached with wheel type pully  (struck mud , struck in sand )  that pully  attached  with engine  for any  struck purpose usefully and it act as  weight for front   brother back side dual lift  these tractor helpful for real agricultural filed  iam also b.tech engineering final year iam a big lover of mahindra"
6106,i love mahindra
6107,i love mhindra
6108,Yaar Uske Ghar kis tarike Se Lage
6109,Mahindra Yuvo 415
6110,Что это
6111,475 king
6112,Mahindra 415 prices
6113,मेरे पास भी yuvo 415 hi  जोताई  में 5  लिटर लेता है।।  क्या प्राब्लम। है।
6114,Mahindra no. 1
6115,John dere5042 massey 5245    combare best mailage low service tractor video please
6116,kya yh sonalika me bi lga skte h
6117,pls bring to market
6118,Mitt Maram karke marte ho bhai kisano Ko chutiya banate ho
6119,A1
6120,super
6121,"Mahindra tracter height km h
इस टैक्टर मे आगे से ऊठने की कमी वहुत है  महिंद्रा से वेकार कम्पनी नही है बेस्ट टैक्टर sonalika swaraj new Holland. Farmtrack"
6122,Oil jyda jalta hai 415 me
6123,Good Mahindra tractor
6124,Mileage kitni he
6125,dum hai to Sonalika se Muqabla karke dikhao jatt da sonalika / Mo. 8938912186
6126,Good ha
6127,please tell original price of exshowroom
6128,Masț ट्रेक्टर
6129,I love Mahindra per me nahi kharid Sakta me garib kisan hu
6130,I like
6131,Mahindra all tractor is best buy mahindra jivo or Arjan novo is my dream but i am not rich my father is poor farmer
6132,Nice
6133,176 gram per hour per hp means  it consumes more than 7 litres per hour..then how it is going to mileage tractor...
6134,Mere pass hai yuvo 575
6135,Mahindra's all tractor is best my dream is buy mahindra jivo because jivo is useful tractor for dairy farm but i have no money because I am a poor farmerz son😢😢😢
6136,supper mahendara best
6137,There is no visible video some seconds with rotavator operation
6138,Do video in Telugu language about all models of Tractors of Mahindra and Mahindra plz.....
6139,415DI Sand haulage - Telugu
6140,Mahindra JIVO 245 DI Testimonials | Mahindra Tractors Testimonials | Devidas Baghul | Marathi
6141,Price kiti
6142,Nice sir jee
6143,Bahut hi jordar tractor
6144,Sar ye tractor palav pe kitana dejal leta hi
6145,Yar Hindi language me vidio banana
6146,Arjun fudu aaa
6147,Esme kitna kharcha aata hae
6148,Eicher 480is best
6149,Contact no 6263945267
6150,Mujhe Lena h price kya h
6151,Game ka nam kya hai
6152,PTO skate badavo
6153,Ace ka hai bhai agar hai to mujhe lagwana hai
6154,Is Mahindera 265 yuvo available in dual clutch.
6155,Price kitna hai
6156,સુપર
6157,Sir bhumi putra me bhi constentmesh gear box de dijiye..bhumi putra mast tractor hai..sirf gear box k karan bakwas lagta hai..
6158,Mera pass mahindra sarpanch 265 h
6159,475 ki kotachn kitani ha
6160,Mahindra 415 ka video
6161,Mahindra 415 ka video nikaliye
6162,Mahindra 415 ka video dikhaye
6163,mahindra 415
6164,Price kya yuvo 575 ka
6165,Mahindra yuvo 475 ke bare me Koi video ban ba o na......... Ke Mahindra yuvo kon kon sa Kam ke lya suitable ho sak ta he
6166,Mahindra yuvo 575 full hd video review banaye ple
6167,Mahindra 415 me kitne fit ka rotavator lagana change?
6168,Mahidra yuvo and nova all are fail tractors
6169,Price in haryana top model
6170,Sir Zara Beta Diji Ye Ki DC Liver Se Hum Kiya Kar Sakta Hu Please Reply Sir.
6171,Feedback MP log hi kyu dete h
6172,Mahindra bashs
6173,Kya Kimat hai
6174,New Holland ka milega asseris
6175,Nice
6176,Ek nabar
6177,Nice tractor
6178,Jordar
6179,Best
6180,Na 1 Mahindra
6181,Mahindra na 1
6182,साईट गेर क्यु नहि है.ईसमे देने चाहियेथे.
6183,Tractor me di ka matald kya hota video banavo
6184,meri raye hai ki har new tractors me pahli baar M&M ki Taraf se  M_series mile
6185,Good
6186,Bahut badhiya
6187,Great work mahindra👍
6188,Sarpanch pe mahila Bhari pad gayi.😀😁😂
6189,How much does one tractor Mahendra
6190,Good help milega .
6191,mahindra yuvo 575  rotawehai 5feet  chalate samay ek gante me kitna disal kharch karta hai
6192,Pradeep
6193,Mahindra lift down kiyo nahi ho rahi
6194,Bhut sahi hai
6195,હિન્દી મે બોલે
6196,"यह मॉडेल पुरा फेल हो चुका है और ज्ञानेश्वर बोडके एक फेक किसम का आदमी है, इस व्यक्ती ने कृषि विभाग, महाराष्ट्र, नाबार्ड पुणे और न जाने कितनें किसानों और उपभोक्ताओं को फसाया है. इस व्हिडीओ पर कृपया विश्वास न करें. कृषि विभाग पुणे, नाबार्ड या अॅग्रोवन पुणे में आप इस मॉडेल की विफलता की जानकारी ले सकते है."
6197,प्राइस क्या है
6198,Full power tractor
6199,What is battery warranty in mahindra tractor
6200,Call me 7004875732
6201,🙏
6202,इससे  महिला किसानों को प्रोत्साहन मिलेगा
6203,Peddaboku Gallup vizianagara room vallu
6204,Super super super yuvo
6205,Yeah chhatriya seat cover Yeh jo jo Laga tractor mein aap kahan se laga hai mere ko bhi Apne attractive lagwana Hai Bataye Na please
6206,iski price
6207,"7738202752
शिर्डी
महाराष्ट्र"
6208,In nepal how much price
6209,Vo sincromes hota hr
6210,Full engine device chahiye
6211,Rod price kitani hai
6212,Yuvo 475 me kimpin ka problem jada hai
6213,7276363380
6214,Abe engrec ke hindi sataup
6215,भाषा हिंदी में
6216,किती टन चे वजन ओढू शकतो
6217,एक लिटर डिझेल मध्ये किती किलोमीटर जातो
6218,Mahindra no 1 ahee
6219,#jivo
6220,मी स्वत जीवो वापरतो खुपच पावरफुल आहे काहीच अडचण नाही
6221,1 no jivo
6222,आईशर सभी टेक्टरो से बेस्ट
6223,Mahindra yuvo is king best tracktar
6224,Job gone
6225,price kya hai
6226,"265 to bekar hai 
Lift kam hi nahi karti hai"
6227,mahendra tractor chahiy
6228,Ha
6229,How many gear are there in this tractor
6230,Hight hada hai?
6231,Main tou tractor driver hoo kisea ko driver chahie tou call kariea 7889707451
6232,Mahindra is best aahe
6233,Thanks
6234,Es me kharcha kitna hae
6235,Price ???
6236,Hello tractor Mahindra 575 digal Jada leta hai 7 letar hairo ke jutai par he daban lai ta hai RPM 2000 3 lo mkm
6237,सिलेंडर कोनसी साइड में लगे हुए हैं
6238,क्लच ब्रेक के साथ में पैर रखने का स्टैंड भी नही लगाया।पुराने मॉडल में गियर सीधा होता था और इसमें गियर √इस आकार में मुड़ा हुआ है
6239,"पैर रखने के लिए स्टैंड  भी लगा देना चाहिए  ट्रेक्टर में।

पुराने मॉडल में पैर रखने का स्टैंड लगा होता था और क्लच   ऊपर स्पिरिंग से लगी होती थी सीधी ।"
6240,Bekar trecter
6241,Nice Company
6242,Mahindra is always best
6243,My hero yuvo
6244,har tractor ka cover aviable ha kya???
6245,How To Fetting Yuvo Tractor Gear Box
6246,Super
6247,"Engine off ho or key on ho tabhi time miter bhadhta he iska ilage he ya problem he 
Riply digiye"
6248,"Hi mere pas yuvo 575di he usme engine off ho or key on ho to miter chalta rehta he gante  uske badhte rehte he 
Iska ko folte he ?
Riply do"
6249,War hamko engine may gayer oil dalna hay kon sa daalaye
6250,I want to buy one ... Call me at 9440259918
6251,mahindra jivo 225 ka review kijiye
6252,Mahindra is the best
6253,Treakts me dering
6254,Sir isme side gear Kyo nhi hote hai
6255,price bhai
6256,How much price
6257,I love mahindrA  yova 475
6258,"Sir, i need a help from mahindra.... 6feet rotavator is comfortable in which tractor? Means how many HP tractor??? I want to buy a mahindra tractor. So please help me???"
6259,mahindra yuvo 575 मे किस ग्रेर मे हल चलाते हो
6260,paisa barbad krne ka hai chlega to khet me hi
6261,Supper aaaaa
6262,"Ghanshyam ji ठाकर No,,7970163519"
6263,Mahindra yuvo 575 di lena hai price batao
6264,Mahendra  is a damaj tricktor
6265,"Engine cc bahut km he, swaraj tractor ke engine bahut bde or damdar rehte he ...fuddu Mahindra"
6266,Mahindra 585 di sarpanch sied gear me hai kay
6267,50 hp 4wd is available
6268,Sonupatel
6269,Awesome Mahindra
6270,Awesome mahindra
6271,Best
6272,It is oil clutch or not
6273,Mahindra yuvo 275 HP com
6274,Anna yuvo faill anyndhi ga. Anna
6275,how much liter for one hour
6276,4ft sarit chalto ka
6277,Market me
6278,Ishq ka saman Kaha Milta Hai
6279,mahindra jivo 225 ka review kijiye
6280,Ghtiya tractor he jesa Btaye aisa kuch nhi he Esme .. swaraj tractor no.1
6281,डिस्कउंड आहे का
6282,605 di ultra 1 no
6283,gjb
6284,gjb
6285,Bhai Massey jitna hydrolic power full nahi hai
6286,Best Mahindra Yuvo
6287,yuvo us best
6288,mahindra yuvo is best
6289,Super
6290,Nice Mahindra
6291,જય વિશ્વકર્મા
6292,best ad
6293,very very NYC Mahindra you
6294,Jai Baba Vishwakarma
6295,Best
6296,Love you Mahindra
6297,Best tractor
6298,Nice
6299,नाद नाही करायचं महिंद्रा jivo ट्रॅकटर चा
6300,👍👍👍👍👌👌👌
6301,Mahindra jivo no 1
6302,Nice Mahindra
6303,Mujhe tractor ke liye baat karni hai
6304,Sapna contact number dijiye
6305,सीट बेरींग आती तो अछा लगता गढे मे परेशानी ना होती
6306,rpm drop jyada h
6307,Kimat.kitani.hybhai
6308,Elchear tarektr 485 jhante me kitna tel pita he
6309,1 hour Rotavator ka ketha diesel jaliga
6310,Telugu
6311,Not good
6312,Great
6313,super
6314,👌👌👌👌
6315,"1,40,000 hour घंटे 🙏 mtlab 15-16 saal se aap teast kr rhi hain...😂😂😂 Mahindra yuvo ka  waa yaar"
6316,supar tractor
6317,Kisa punjabi kol shed ahnu
6318,Mahindra is sad sy dest
6319,Pani q bra
6320,Super tractors and NO .1
6321,ok
6322,Nice tractors
6323,585 vi yuvo modal bnai
6324,Bhai apna contact number dijiye
6325,Super Troctpr
6326,Good
6327,Kya chutiyapa h
6328,i want to buy bangladesh so how and my what's app number is 0060169186949 ok
6329,pressure trolley system nahi hi
6330,Ekdam mast yuvo tractor
6331,Mahindra yuvo 475 average kitne litre aur kya price hai
6332,I love tractor
6333,बेरींग कैसै ठीक करे
6334,pure giyar ki jankari chahiye
6335,Mahindra best terecter in india
6336,Mahindhr no. 1
6337,"हमारे यहा पर एसी मशीन तैयार की जाती है जो कम समय जयादा काम करती है हमारे साध सपरक दिए नमपर करे
96674    22522
आपका विशवखश हमारी पहचान"
6338,May fevrit tractor Mahindra tractor
6339,Giyar se awaj aayi change karne par
6340,B275di Good
6341,",,"
6342,Very very Nice  mahindra yuvo 475
6343,Telugu lo matladu
6344,John Deere trakter no1
6345,akhilesh. yadavo
6346,price list kitna hai
6347,ईसग्रुपका एक सहयोगी सांगली जिलेसे हुँ मेरा नाम है शैलेन्द्र धोंडीराम गाताडे अध्यक्ष अभिनव फार्मर्स क्लब मालगाव मेरा मो. न. ९४२०६८३१५९
6348,where can i buy one here in germany?
6349,Best
6350,"Sir,, tractor ka Jo hydrolic line hote hai,, sit ka niche jaha..uhase oil leak kar raha hai,, to esse kaise fit kare..."
6351,Jone Deere ki bhi he kya
6352,एक घन्टा में कितना पिता है डीजल युवो
6353,Hi....mahindra gear box usedless
6354,"Mahindra hydrologic system always in trouble model 275, 475, 575. I always in trouble and mechanic is also in trouble and not others company like sonalika like good at that matter."
6355,Nice mahindra
6356,Save girls save life
6357,Kitne ka he yuvo 475
6358,कितने का हे 475yuvo
6359,"My Mahindhra arjun 605 di tractor power streeing problem please help.me.my cell no. +919440612984.
Please help me... Mahindhra customer care?"
6360,"My Mahindhra arjun 605 di tractor power streeing problem please help.me.my cell no. +919440612984.
Please help me... Mahindhra customer care?"
6361,"My Mahindhra arjun 605 di tractor power streeing problem please help.me.my cell no. +919440612984.
Please help me... Mahindhra customer care?"
6362,50000 de ke sow room se le skte h kya
6363,लय भारी
6364,"Whisper transfer machine fitting Ho Jayega show time in Nepal contact kare
9667422522"
6365,Hindi m baat kr be faltu bol raha hai sale
6366,हमको कुछ बात करना है ट्रैक्टर के बारे में आपसे मेरा कांटेक्ट नंबर है 7631318864
6367,सर आपका कांटेक्ट नंबर मिल सकता है
6368,Eicher is best
6369,"NO 1
Tractor"
6370,"Bhai, lift, cover, ki, hight, km, kro, ta, ki, draving, set, good, sat, ho, forant, Axl, hood, spot, change, kro, or, gair, laver ko, bater, kro"
6371,Aapne Jo Mahindra company ka gadi nikala hai uska naam kya kare Kya Godown mein
6372,Bekar he cilendar panchar hota he or rdiatar ka pani ingin oil me utar  jata he hd pump ki oil sil katne par hd oil ingien oil me aa jata he mere paa 2010 modal 475 he jo ghar javal he bechna hoto ges    katar vala lejate he
6373,Sab paisa barbad karne ka kam he
6374,price kya h iski
6375,jatke khakar kiyo chalta he -es ka utar dijiye
6376,mera tractor  resh lagao jatke khakr chalta he ( ak jesha nahi chalta - ye hamari jaan lekar rahega-
6377,"पाइपलाइन केबल लाइनो खुदाई की मशीन टेकटर चलित यह मशीन 6 -7 फुट तक गहरा व 6 इंच से 18 इंच तक चोडाई मे नाली खोद सकती है हमारे साध सपरक करे 
96674      22522
आपका विशवखश हमारी पहचान"
6378,All in one Mahindra is the best tractor
6379,super tractor
6380,super tracror
6381,"पाइपलाइन केबल लाइनो खुदाई की मशीन टेकटर चलित यह मशीन 6-7 फुट तक गहरा व 6 इंच से 18 इंच तक चोडाई मे नाली खोद सकती है हमारे साध सपरक करे
96674     22522"
6382,Sir is ka ret kitan hai
6383,Adc
6384,415 bhumiputra rotavator main one-hour main kitna disel Khapat karega
6385,"Bhai Sahab Eicher 368 AAP k 4 cylinder ka baap hai jo 3 cylinder me 38 up and 2945 cc engine deta hai.
Aur ye aap k Mahindra ki tarah 7litr/hour diesel bhi nahi khata."
6386,super
6387,Hw yr sahi batao kitna khata h
6388,ट्रैक्टर का बेरिंग ठीक करना सीखे
6389,I have Mahindra 575 it's preference was good
6390,Mahindra is oll raight
6391,Swaraj necha
6392,ణనడ
6393,Mast
6394,Sab sa bakar trackter
6395,"You guys should take it into a real rice field that was soaked for 5 months like what happening in Guyana,,,it might work better than tyre"
6396,महिंद्रा ट्रैक्टर 475 के बारे में माहिती भेजो
6397,पलीज फोन करो खरीदने का है ईसलीऐ आपकी जानकारी दो
6398,Top 1 tractor is a New Hollend 3630
6399,Eicher tractor is best
6400,Swaraj is best
6401,Mahidra arjun novo 57hp 7fit rotavetar ke sath kitana deasel khata hai?
6402,price
6403,price
6404,Ford is best
6405,ye jaanvar kisane bulaye kon sa kisan english janta h.
6406,Mahindra Best
6407,Its pto speed is not supicent
6408,Mahindera is not good for Rotar vator
6409,Very nice video bhai
6410,महिंद्रा युवो 275 के बारे में जानकारी लेना है कैसा ट्रैक्टर है
6411,massey ferguson 1035 di super
6412,Bekar hai mahindra
6413,87u
6414,वसीम
6415,महिंद्रा युवो 275 के बारे में जानकारी दें आप
6416,महेंद्र यूवो 275 कीमत क्या है इसका माइलेज क्या है  जोताई में टाली  में  थ्रेसर मे1 घंटे में कितना डीजल खाएगा आप जानकारी दे मुझे लेना है
6417,इसकी जानकारी आप हमें दें लेने का मन बना रहा हूं
6418,महिंद्रा युवो275 इसकी कीमत क्या है और क्या-क्या लेकर चलता है 1 घंटे में कितना लीटर डीजल खाता है जोताई में और टाली में थ्रेसर में कितना खाता है
6419,super mahindra number 1
6420,Mahindra best tractor
6421,स्काउट डीजल कितना घंटा खाता है जुदाई कैसे करते हैं दवाई कैसा करता है यह सब आप लोग बताइए थोड़ा लेने का विचार बन रहा है
6422,Nice
6423,Synchromesh kesa hai
6424,M smart all accessories lena hai to. Price kya hai aur kaha milega mera dist.satara hai tel.khatav hai to muze a m smart accessories kaha melega
6425,Yuvo pudling ke liye success nehi hai
6426,Anand Kumar Rana
6427,Chalana ho to kiya Karna chahiye
6428,Yeh app to chalta hi nahi
6429,Please use Zero budget natural farming instead of organic farming
6430,मेरे को Mahindra ट्रैक्टर लेना है कितने क्या रेट है इनको मेरे को कमेंट बॉक्स में बताइए और कितने में क्या मिलता है पहले कितना जमा कराना पड़ता है या फिर आप मेरा नंबर नोट कीजिए फोन कीजिए8619814843
6431,Farmtrac bast mileage data hai
6432,"Esko full revew m dekha kar per hour per mileg btao 415 ,265 ka"
6433,Sir eska rotaweter per mileg kitna h
6434,415 is not good oñle 585
6435,Hindi bol be ghamandi
6436,Sonalika
6437,Mere pass Mahindra tekter  275 purana he kareb 30 year old
6438,India ki no 1 compny
6439,"क्या बेवकूफी है कौन सा किसान english जनता जो आपको समझेगा  और rotavestar लगा के चलाओ औकात का पता चल जाएगा free ट्रैक्टर चलने से क्या पता चलेगा बिना किसी लोड के.....
Swaraj 960 best and king of tractor's SWARAJ"
6440,Yeh tractor 16-9-28 ke tyre me available hai or side shift gear me koi problem to nhi hai
6441,Nhi he acha
6442,Yovo is fast tractar
6443,bahut accha hai kisano ke liye
6444,"Mahindra tracter desh ki san hai 
Best work in mahindra"
6445,Nice
6446,"If farmer know English then no required to do farming 


Abe chutiya..."
6447,commentary  hindi me kro angrej ke bachhe  yah India hai England nhi
6448,Nice
6449,Eicher tractor my choice 557
6450,mahindra 245di four wheel drive  5 fit rotavetar  540 PTO power vala rotary chalega?
6451,No like
6452,Abdul Kalam
6453,Fall. Ha
6454,Jo Mahindra liya hai na hatana Chahta Hai
6455,Pura bakwas hai Mahindra tractor
6456,Poora bakwas
6457,Price kiti
6458,swaraj tractor is better
6459,nice takter
6460,Nice
6461,Jondere is no. 1 due to  every hp  tractor is  in 3 cylender.
6462,Hamko v banana hi
6463,Tanki full hota hay to hafee soioo karat hay
6464,Kaya karaye
6465,Sir mera mahindra yovo ka oil meter solo nahe kar raha hay
6466,First thing I think of hearing this guy talk is coneheads
6467,https://youtu.be/OZ3WDETxq8k
6468,My jivo  tractor Saialenser short. U wila hight saialenser   saplai sir
6469,Eiecher tracktor no.1
6470,You guys are really dumb Farmers use hindi or regional language..
6471,Nice guru Price Kaya ho
6472,Rs
6473,Kabhi mat Lena isko other tractor  le Lena bhale for more information contact me 9795410838
6474,Kon kishan tumhari bad bad samjh payega
6475,Ullu k pattho Hindi m revew Kiya kro
6476,actually mahindra power and part are weak as compare to swaraj
6477,Gujarati
6478,Aur 575
6479,Mahindra terktar 275  Apollo  ka badha tater 2018 is prais
6480,Sir kya mei iss video ko apni video mei use kar sakta hu?
6481,diggisense app me username kya fill krna hai
6482,India's no1 model wala tractor 595 di
6483,TeluguHot you
6484,Rotavator chalaye jamin pe ploughing kar ke kya demo de rahe ho sir..
6485,Very nice video
6486,Bakwas trktor he hight jada he vajan bhut he
6487,In this kind of land every tractor can work 😎😎😎
6488,I love mahindra tractores
6489,"Pehle edit toh kro yar...fir upload kro... itni v kya jaldi hai
Andhera Q he be
😂😂😂😂"
6490,"SWARAJ 855 Fe is best forever....
Mahadira also good ..."
6491,Sir ji mere tractor ko lift jatke bhut leti he or garm ho jati he
6492,sir one problem occur when we are going with trali with heavy load and then we go on high bridge the tractor gones up t
6493,डीझेल मेन्टेन
6494,बकवास
6495,Market lo unda
6496,Swaraj is best
6497,Good tractor
6498,Messey fengerson is best tractar company
6499,Hindi mai bol b kute
6500,शीट मे बेरींग लगादी होती तो अछा रहता जंपिंग अच्छी होती
6501,रोड में कैसे चलेगा
6502,Sb shi lga pr tyres m air pressure km krke q chla rhe ho bhai grip nhi bnti kya mahindra ki
6503,575 ट्रेक्टर की रट कितनी है
6504,Farmtrack tractor is best for everything now
6505,Any job in Punjab
6506,The super powers
6507,Att Eicher
6508,"होशंगाबाद में भी डेमो दे।
यहाँ चिकनी मिट्टी है।"
6509,lodar ace 450star hoba
6510,Sonalika is best tractor
6511,"Thank you, come again!"
6512,Bharat ka kon sa kisaan itni achchi english janta h bhai
6513,पक्की मिट्टी में चलाओ तो जानू
6514,575 ट्रेक्टर की रट कितनी है
6515,Super 575
6516,Massey 245 no 1
6517,English  ati hai jisko wo kisan ni hoga
6518,20 harrwo daloo
6519,Mahindra tractor load te band ho janda
6520,https://youtu.be/e3ca128ot4g
6521,kisanokashathi
6522,sections filter part number tell me
6523,rotar lagao  fhir dekho  power
6524,Can i change my mamule string into power string
6525,English main kya samajh payega aap logo ki   kesan. Bol rhe ho
6526,अबे हिन्दी तो बोल लो किसान के इंग्लिश समझ में नही आती
6527,Eicher is a god tractor
6528,Bina klti Ka to chalega hi
6529,We are from tamilnadu .we had mahindra 475 di tractor. Ur all vedio only in hindi so we are not able to understand. We are also mahindra buyer.how will understand. So kindly upload all vedio in english is very helpfull.we hope we r also ur customer ....
6530,Fuel tank  ka  miter gage o ring  to pahale banao be
6531,"Selsmen  ka paisa khane wala company 
Bash show baji  aur kuchh nahi"
6532,Is it dozer fitted from company
6533,"Sir very nise information 
green haus ki jankari bhut achi lagi sar"
6534,"Swaraj tracotr is the best tractor 
Punjab ist choice SWARAJ 855."
6535,Either is best
6536,banjar jamin me chalao to janu
6537,4X4 tractor
6538,I love Mahendra tractors.....
6539,"Kya chutiapa h
 konsa kisan english janta h jo jhaad rhe the 😃😃😃😃😃😃"
6540,massi farosan 1035 241
6541,Sir tractor da model mil ju ga
6542,Bekar swaraj best .
6543,iseka Ret kitina Hoga bhai
6544,Novo nahi 605 ultra 1 no love sabka
6545,Preet nall kuch bhi na ye
6546,"hami mahindara arjun novo 605di ka set kawr cahiy aur  hendil kawr cahey Pelij cal me my MOBAEL No 
7607307435
my whatsapp no +66950910464"
6547,Rotar lagaya dako
6548,Faltu tractor John Deere ar swaraj is best
6549,"tayre me pane bharne se koi dikkat to nahi hogi sir 
aue kis employment ke liye pani bharne ki jaroorat padegi"
6550,Tyre is to small
6551,Yuvo is worrest tractor
6552,SWARAJ best tractor 843
6553,new holland
6554,barobar nahi diesel khato
6555,Arjun 605 ultra Sada diesel pump1 no
6556,👌👌👌👌
6557,Bhaiya Kya prize he iski
6558,यह sare accessories के कितने rupees hai
6559,Mast
6560,S
6561,Farmtrac tractor is all percent best
6562,Fail
6563,Swaraj best
6564,Mahindra sarpanch ka acha sa demo dikhao naya video bhejo iska
6565,Fadu trector in mahindra and mhindra  .....very slow in cultivater
6566,Nice mihindra tractor youvo
6567,avarj antha esundi
6568,Fuddu
6569,Bahut accha tractor  475 mahindra yuvo
6570,744fe best
6571,Price
6572,9828208337
6573,9828208337
6574,rotavator lagao
6575,Super
6576,meta Mahindra tractor 2 sal se khada hai kaise banana Hai Bina paisa kharch kiye
6577,Hindi bol
6578,Farmtrac 6060 or Mahindra ki koi bhi terctor se comper kr ke dekho kon jeetta he farmtrac is best💪💪💪💪💪💪👈👈👈
6579,I like the mahinra
6580,https://youtu.be/aSrobuBNVsU
6581,Our 2nd tractor Mahindra 475Di BhoomiPutra.
6582,mst ha
6583,Great job
6584,Price kitni hai
6585,Price kitni hai
6586,Price kitna hai
6587,Hand break ke ange jo pedal hota hai bo kis kaam ata hai
6588,price Sir add
6589,jordar
6590,Sir muje bhi Mahindaera.yuvo tractor lena he to muje yuvo ke bareme jankari chahiye to please call me 8758946117
6591,maelej antha eshadi
6592,"415 not good, only 475 is best. i m 2 475 engine owner"
6593,इसका रेट कितना है
6594,हिन्दी में बात करो
6595,Jordahe
6596,Amazing. Add a bit Couple of cameras. And I guess I control it from anywhere in the world. Good opportunity for outsourcing farm work. Mahindra should strive to automate al fullyl farm related equipment.
6597,bogs jivo tractar
6598,Massy is best tractor for consumption of fuel
6599,when gov. provide 24×7 electricity to farmer
6600,Kotputli me mahindra tractors ka workshope  aacha nahi ha
6601,Nice sir
6602,Nice sir
6603,Sir konsa tractor kharide call me please 8758946117
6604,Sir yuvo kharidna chahiye please call me 8758946117
6605,Prize ki a
6606,What is the price of the sparyer
6607,super mahindra my favourite
6608,इससे अच्छा Eicher 368 हे इसी केटिग्री में
6609,Bhai ye kitne rupye ka h
6610,1 view... बहुत दिनों के इंतजार करने के बाद में चौथा एपिसोड आया है मैं देखने के लिए काफी उत्साहित और  में दोस्तों को भी आमंत्रित करता हूं
6611,Arjun 605 ultra 1 no  Novo bekar
6612,bhumiputra old model gear oil is same with hydrolic oil or not
6613,Sir mahindra tractor ka bonnt  stekor khaha se la sakte hi
6614,Punjabi me bhi btaave se bhaji
6615,Mini air comprasor
6616,Kyo sabse jyada selling mahindra ki h new features se fir or badegi
6617,"Mahindra me new update karo jjisse hawa campreser system kro jisse usme kahi par bhi hawA bhari ja sake
..ye update mahindra company kregi to acha rahega thankyu"
6618,Mahindra No 1
6619,mahindra yuvo 275 kitna fit ka rotavator chala sakta hai
6620,Good
6621,Costly
6622,Costly
6623,Sir this video for please translate the Tamil language
6624,", मुझ को महिंद्रा ट्रैक्टर बहुत पसंद लेकिन मेरे पास रूपए की किल्लत है कास पैसा होता तो महिंद्रा ट्रैक्टर खरीदता"
6625,I want to know about price availability in chhatisgagh with  power ie HP
6626,how  many  liters  consumption  of fuel  for  hour
6627,Bekaar
6628,Farmtrac best hai
